TIME;ID;LINK;POSITION;DISTANCE;STATE;VEHICLE
06:41:10.91;U_M240;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B315;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M1238;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M561;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B178;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M8;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M727;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M169;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M31;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B213;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B403;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M215;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M190;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M1278;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B502;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M1099;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M404;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B157;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B364;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M164;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_B60;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M1143;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M653;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
06:41:10.91;U_M96;METRO_S2 METRO_S4;1500.000 0.000;1500.000;INSIDE_VEHICLE;8
